"id","equipo_vhf_id","canal","tipo","created_at"
314,314,VIE 1,Main,2026-01-08 16:24:41.920
315,315,VIE 1,Standby,2026-01-08 16:24:42.787
316,316,VIE 2,Main,2026-01-08 16:24:43.736
317,317,VIE 2,Standby,2026-01-08 16:24:44.467
318,318,SJU 1,Main,2026-01-08 16:24:45.578
319,319,SJU 1,Standby,2026-01-08 16:24:46.399
320,320,SJU 2,Main,2026-01-08 16:24:47.226
321,321,SJU 2,Standby,2026-01-08 16:24:48.140
322,322,RMY 1,Main,2026-01-08 16:24:49.715
323,323,RMY 1,Standby,2026-01-08 16:24:50.595
324,324,RMY 2,Main,2026-01-08 16:24:51.415
325,325,RMY 2,Standby,2026-01-08 16:24:52.336
326,326,IJC 1,Main,2026-01-08 16:24:53.497
327,327,IJC 1,Standby,2026-01-08 16:24:54.487
328,328,IJC 2,Main,2026-01-08 16:24:55.318
329,329,IJC 2,Standby,2026-01-08 16:24:56.239
330,330,CPPL,Main,2026-01-08 16:24:57.405
331,331,CPPL,Standby,2026-01-08 16:24:58.376
332,332,CAUX,Main,2026-01-08 16:24:59.196
333,333,CAUX,Standby,2026-01-08 16:25:00.120
334,334,SMC,Main,2026-01-08 16:25:00.948
335,335,SMC,Standby,2026-01-08 16:25:01.878
336,336,ATIS,Main,2026-01-08 16:25:02.802
337,337,ATIS,Standby,2026-01-08 16:25:03.673
338,338,CPPL,Main,2026-01-08 16:25:04.524
339,339,CPPL,Standby,2026-01-08 16:25:05.783
340,340,CAUX,Main,2026-01-08 16:25:06.575
341,341,CAUX,Standby,2026-01-08 16:25:07.398
342,342,EMERG,Main,2026-01-08 16:25:08.240
343,343,EMERG,Standby,2026-01-08 16:25:09.042
344,344,MILITAR,Main,2026-01-08 16:25:09.926
345,345,MILITAR,Standby,2026-01-08 16:25:10.746
346,346,DOZ 1,Main,2026-01-08 16:25:11.691
347,347,DOZ 1,Standby,2026-01-08 16:25:12.611
348,348,DOZ 2,Main,2026-01-08 16:25:13.539
349,349,DOZ 2,Standby,2026-01-08 16:25:14.389
350,350,CPPL,Main,2026-01-08 16:25:15.475
351,351,CPPL,Standby,2026-01-08 16:25:16.198
352,352,CAUX,Main,2026-01-08 16:25:17.107
353,353,CAUX,Standby,2026-01-08 16:25:18.147
354,354,EMERG,Main,2026-01-08 16:25:18.926
355,355,EMERG,Standby,2026-01-08 16:25:20.000
356,356,JUA 1,Main,2026-01-08 16:25:20.904
357,357,JUA 1,Standby,2026-01-08 16:25:21.926
358,358,JUA 2,Main,2026-01-08 16:25:22.853
359,359,JUA 2,Standby,2026-01-08 16:25:23.728
360,360,CPPL,Main,2026-01-08 16:25:24.813
361,361,CPPL,Standby,2026-01-08 16:25:25.827
362,362,CAUX,Main,2026-01-08 16:25:26.567
363,363,CAUX,Standby,2026-01-08 16:25:27.374
364,364,EMERG,Main,2026-01-08 16:25:28.287
365,365,EMERG,Standby,2026-01-08 16:25:29.139
366,366,RYD 1,Main,2026-01-08 16:25:29.934
367,367,RYD 1,Standby,2026-01-08 16:25:30.840
368,368,RYD 2,Main,2026-01-08 16:25:31.657
369,369,RYD 2,Standby,2026-01-08 16:25:32.579
370,370,CPPL,Main,2026-01-08 16:25:33.937
371,371,CPPL,Standby,2026-01-08 16:25:34.807
372,372,CAUX,Main,2026-01-08 16:25:35.599
373,373,CAUX,Standby,2026-01-08 16:25:36.388
374,374,EMERG,Main,2026-01-08 16:25:37.290
375,375,EMERG,Standby,2026-01-08 16:25:38.114
376,376,CPPL,Main,2026-01-08 16:25:39.438
377,377,CPPL,Standby,2026-01-08 16:25:40.463
378,378,CAUX,Main,2026-01-08 16:25:41.506
379,379,CAUX,Standby,2026-01-08 16:25:42.309
380,380,EMERG,Main,2026-01-08 16:25:43.333
381,381,EMERG,Standby,2026-01-08 16:25:44.098
382,382,CPPL,Main,2026-01-08 16:25:45.215
383,383,CPPL,Standby,2026-01-08 16:25:46.105
384,384,CAUX,Main,2026-01-08 16:25:46.923
385,385,CAUX,Standby,2026-01-08 16:25:48.044
386,386,EMERG,Main,2026-01-08 16:25:49.308
387,387,EMERG,Standby,2026-01-08 16:25:50.372
388,388,MLG 1,Main,2026-01-08 16:25:51.461
389,389,MLG 1,Standby,2026-01-08 16:25:52.343
390,390,MLG 2,Main,2026-01-08 16:25:53.262
391,391,MLG 2,Standby,2026-01-08 16:25:54.181
392,392,RIN 1,Main,2026-01-08 16:25:55.424
393,393,RIN 1,Standby,2026-01-08 16:25:56.334
394,394,RIN 2,Main,2026-01-08 16:25:57.058
395,395,RIN 2,Standby,2026-01-08 16:25:57.866
396,396,RIN 1,Main,2026-01-08 16:25:59.036
397,397,RIN 1,Standby,2026-01-08 16:25:59.823
398,398,RIN 2,Main,2026-01-08 16:26:00.849
399,399,RIN 2,Standby,2026-01-08 16:26:01.788
400,400,CPPL,Main,2026-01-08 16:26:03.099
401,401,CPPL,Standby,2026-01-08 16:26:04.013
402,402,CAUX,Main,2026-01-08 16:26:04.853
403,403,CAUX,Standby,2026-01-08 16:26:05.648
404,404,SMC,Main,2026-01-08 16:26:06.473
405,405,SMC,Standby,2026-01-08 16:26:07.194
406,406,CPPL,Main,2026-01-08 16:26:07.971
407,407,CPPL,Standby,2026-01-08 16:26:08.860
408,408,CAUX,Main,2026-01-08 16:26:09.669
409,409,CAUX,Standby,2026-01-08 16:26:10.378
410,410,EMERG,Main,2026-01-08 16:26:11.196
411,411,EMERG,Standby,2026-01-08 16:26:11.905
412,412,ATIS,Main,2026-01-08 16:26:12.782
413,413,ATIS,Standby,2026-01-08 16:26:13.635
414,414,SIS 1,Main,2026-01-08 16:26:14.607
415,415,SIS 1,Standby,2026-01-08 16:26:15.412
416,416,SIS 2,Main,2026-01-08 16:26:16.218
417,417,SIS 2,Standby,2026-01-08 16:26:16.943
418,418,CPPL,Main,2026-01-08 16:26:18.054
419,419,CPPL,Standby,2026-01-08 16:26:18.857
420,420,CAUX,Main,2026-01-08 16:26:19.761
421,421,CAUX,Standby,2026-01-08 16:26:20.622
422,422,EMERG,Main,2026-01-08 16:26:21.761
423,423,EMERG,Standby,2026-01-08 16:26:22.632
424,424,FSA 1,Main,2026-01-08 16:26:23.449
425,425,FSA 1,Standby,2026-01-08 16:26:24.393
426,426,FSA 2,Main,2026-01-08 16:26:25.314
427,427,FSA 2,Standby,2026-01-08 16:26:26.136
