"id","vhf_id","tipo_equipo","marca","modelo","numero_serie","tecnologia","activo_fijo","estado","created_at"
350,36,Main,Becker,TG-264,RTX 616,Analógico,RTX ----------------,OK,2026-01-08 16:25:15.182
351,36,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:15.960
352,36,Main,Becker,TG-264,RTX 614,Analógico,RTX 18149,OK,2026-01-08 16:25:16.806
353,36,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:17.773
354,36,Main,Motorola,DEM 300,TX 13316 RX 12829,Analógico,TX 23773 RX 23773,OK,2026-01-08 16:25:18.665
355,36,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:19.600
356,36,Main,R&S,XU251,RTX 834513/021,Analógico,RTX 13185,OK,2026-01-08 16:25:20.597
357,36,Standby,R&S,XU251,RTX 838807/001,Analógico,RTX 13186,OK,2026-01-08 16:25:21.518
358,36,Main,R&S,XU4200,RTX 103123,IP,RTX 13187,OK,2026-01-08 16:25:22.554
359,36,Standby,R&S,XU4200,RTX 103102,IP,RTX 13188,OK,2026-01-08 16:25:23.495
360,37,Main,R&S,XU4200,RTX 102833,Analógico,RTX 23780,OK,2026-01-08 16:25:24.593
361,37,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:25.523
362,37,Main,R&S,XU4200,RTX 102837,Analógico,RTX 23779,OK,2026-01-08 16:25:26.339
363,37,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:27.154
364,37,Main,R&S,XU4200,RTX 102824,Analógico,RTX 23781,OK,2026-01-08 16:25:27.975
365,37,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:28.899
366,37,Main,R&S,XU251,RTX 849611/021,Analógico,RTX 23796,OK,2026-01-08 16:25:29.634
367,37,Standby,R&S,XU251,RTX 834513/020,Analógico,RTX 23797,OK,2026-01-08 16:25:30.527
368,37,Main,R&S,XU4200,RTX 103130,IP,RTX 23800,OK,2026-01-08 16:25:31.347
369,37,Standby,R&S,XU4200,RTX 103107,IP,RTX 23801,OK,2026-01-08 16:25:32.275
370,38,Main,R&S,XU4200,RTX 100212,Analógico,RTX 13034,OK,2026-01-08 16:25:33.596
371,38,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:34.565
372,38,Main,R&S,XU4200,RTX 102836,Analógico,RTX 13034,OK,2026-01-08 16:25:35.348
373,38,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:36.122
374,38,Main,Becker,TG-264,RTX 618,Analógico,RTX 13057,OK,2026-01-08 16:25:36.937
375,38,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:37.844
376,39,Main,R&S,XU4200,RTX 100203,Analógico,RTX 16118,OK,2026-01-08 16:25:39.133
377,39,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:40.129
378,39,Main,R&S,XU4200,RTX 100116,Analógico,RTX 16119,OK,2026-01-08 16:25:41.094
379,39,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:42.001
380,39,Main,Becker,TG-264,RTX ----------------,Analógico,RTX ----------------,OK,2026-01-08 16:25:43.023
381,39,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:43.863
382,40,Main,Becker,TG-264,RTX 716,Analógico,RTX ----------------,OK,2026-01-08 16:25:44.978
383,40,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:45.813
384,40,Main,Becker,TG-264,RTX 713,Analógico,RTX 16607,OK,2026-01-08 16:25:46.708
385,40,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:47.535
386,40,Main,Becker,TG-264,RTX 697,Analógico,RTX 16208,OK,2026-01-08 16:25:48.885
387,40,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:25:49.926
388,40,Main,R&S,XU251,RTX 834513/023,Analógico,RTX ----------------,OK,2026-01-08 16:25:51.140
392,41,Main,R&S,XU251,RTX ----------------,Analógico,RTX ----------------,OK,2026-01-08 16:25:55.106
393,41,Standby,R&S,XU251,RTX ----------------,Analógico,RTX ----------------,OK,2026-01-08 16:25:56.025
394,41,Main,R&S,XU4200,RTX 103118,IP,RTX ----------------,OK,2026-01-08 16:25:56.843
395,41,Standby,R&S,XU4200,RTX 103119,IP,RTX ----------------,OK,2026-01-08 16:25:57.597
396,42,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:25:58.796
397,42,Standby,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:25:59.610
398,42,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:26:00.476
399,42,Standby,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:26:01.475
400,43,Main,R&S,XU251,"100027",Analógico,"18230",OK,2026-01-08 16:26:02.791
401,43,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:26:03.707
402,43,Main,R&S,XU251,"100020",Analógico,"18236",OK,2026-01-08 16:26:04.627
403,43,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:26:05.418
404,43,Main,R&S,XU251,S/N,Analógico,S/N,OK,2026-01-08 16:26:06.165
405,43,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:26:06.921
406,43,Main,R&S,XU251,"100025",Analógico,"18234",OK,2026-01-08 16:26:07.760
407,43,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:26:08.544
408,43,Main,R&S,XU251,"84997/042",Analógico,S/N,OK,2026-01-08 16:26:09.384
409,43,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:26:10.151
410,43,Main,R&S,XU251,"829155/042",Analógico,S/N,OK,2026-01-08 16:26:10.951
411,43,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:26:11.659
412,43,Main,R&S,SU200,"100024",Analógico,"18231",OK,2026-01-08 16:26:12.541
413,43,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:26:13.329
414,43,Main,R&S,XU251,"100022",Analógico,"18233",OK,2026-01-08 16:26:14.255
415,43,Standby,R&S,XU251,"100023",Analógico,"18232",OK,2026-01-08 16:26:15.180
416,43,Main,R&S,XU4200,"105479",IP,S/N,OK,2026-01-08 16:26:15.998
417,43,Standby,R&S,XU4200,"105475",IP,,OK,2026-01-08 16:26:16.740
418,44,Main,R&S,XU4200,"100095",Analógico,"18670",OK,2026-01-08 16:26:17.734
419,44,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:26:18.574
420,44,Main,R&S,XU4200,"100093",Analógico,"18671",OK,2026-01-08 16:26:19.369
421,44,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:26:20.392
422,44,Main,Becker,TG-264,"640",Analógico,"18665",OK,2026-01-08 16:26:21.229
423,44,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:26:22.340
424,44,Main,R&S,XU251,"849611/023",Analógico,S/N,OK,2026-01-08 16:26:23.165
425,44,Standby,R&S,XU251,"849216/053",Analógico,S/N,OK,2026-01-08 16:26:24.087
426,44,Main,R&S,XU4200,"105478",IP,,OK,2026-01-08 16:26:25.001
427,44,Standby,R&S,XU4200,"105482",IP,,OK,2026-01-08 16:26:25.896
428,45,Main,R&S,XU4200,"103098",Analógico,,OK,2026-01-08 16:26:27.774
429,45,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:26:29.842
430,45,Main,R&S,XU4200,"103099",Analógico,"18806",OK,2026-01-08 16:26:31.076
